#Release 13.2 - par O.61xd (lin)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Wed Oct 26 06:42:31 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       u2plus_map.ncd
#OUTPUT FILE:      u2plus_pad.csv
#PART TYPE:        xc3sd3400a
#SPEED GRADE:      -5
#PACKAGE:          fg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AA22,ser_r<13>,IBUF,IO_L09P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AA23,ser_r<12>,IBUF,IO_L09N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AA24,ser_tkmsb,IOB,IO_L11P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AA25,ser_tklsb,IOB,IO_L11N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AA26,,,GND,,,,,,,,,,,,
AB1,io_rx<7>,IOB,IO_L60P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB2,,,VCCO_3,,,3,,,,,2.50,,,,
AB3,,,GND,,,,,,,,,,,,
AB4,,,VCCAUX,,,,,,,,2.5,,,,
AB5,,,VCCAUX,,,,,,,,2.5,,,,
AB6,PPS_IN,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
AB7,debug<28>,IOB,IO_L14N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AB8,,,VCCO_2,,,2,,,,,2.50,,,,
AB9,debug<25>,IOB,IO_L15P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AB10,,,GND,,,,,,,,,,,,
AB11,,,VCCAUX,,,,,,,,2.5,,,,
AB12,debug<17>,IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AB13,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
AB14,,,VCCO_2,,,2,,,,,2.50,,,,
AB15,flash_mosi,IOB,IO_L30N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AB16,debug<4>,IOB,IO_L38N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AB17,,,VCCAUX,,,,,,,,2.5,,,,
AB18,leds<1>,IOB,IO_L47P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AB19,,,VCCO_2,,,2,,,,,2.50,,,,
AB20,,,GND,,,,,,,,,,,,
AB21,,,DONE,,,,,,,,,,,,
AB22,,,VCCAUX,,,,,,,,2.5,,,,
AB23,ser_r<9>,IBUF,IO_L07P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AB24,,DIFFSLR,IO_L07N_1/VREF_1,UNUSED,,1,,,,,,,,,
AB25,,,VCCO_1,,,1,,,,,2.50,,,,
AB26,ser_r<7>,IBUF,IO_L06N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AC1,io_rx<6>,IOB,IO_L60N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AC2,io_rx<13>,IOB,IO_L64P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AC3,io_rx<12>,IOB,IO_L64N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AC4,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
AC5,,,GND,,,,,,,,,,,,
AC6,SCLK_TX_ADC,IOB,IO_L08P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC7,,,GND,,,,,,,,,,,,
AC8,debug<27>,IOB,IO_L14P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC9,debug<26>,IOB,IO_L15N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC10,MISO_CLK,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
AC11,debug<16>,IOB,IO_L23N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC12,debug<18>,IOB,IO_L21N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC13,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
AC14,debug<15>,IOB,IO_L29N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC15,debug<13>,IOB,IO_L30P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC16,debug<3>,IOB,IO_L38P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC17,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
AC18,,,GND,,,,,,,,,,,,
AC19,debug<0>,IOB,IO_L40N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AC20,TXD<2>,IOB,IO_L41N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AC21,CLK_FUNC,IBUF,IO_L45N_2,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
AC22,,DIFFMTB,IO_2,UNUSED,,2,,,,,,,,,
AC23,ser_r<2>,IBUF,IO_L03P_1/A0,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AC24,ser_r<1>,IBUF,IO_L03N_1/A1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AC25,ser_r<5>,IBUF,IO_L05N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AC26,ser_r<8>,IBUF,IO_L06P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AD1,io_rx<15>,IOB,IO_L65P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AD2,io_rx<14>,IOB,IO_L65N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AD3,,,GND,,,,,,,,,,,,
AD4,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
AD5,,,GND,,,,,,,,,,,,
AD6,MOSI_TX_DAC,IOB,IO_L08N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AD7,,DIFFMTB,IO_L11P_2,UNUSED,,2,,,,,,,,,
AD8,,,GND,,,,,,,,,,,,
AD9,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
AD10,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
AD11,debug_clk<1>,IOB,IO_L23P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AD12,RXD<1>,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
AD13,,,GND,,,,,,,,,,,,
AD14,debug<14>,IOB,IO_L29P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AD15,,DIFFMTB,IO_L32P_2/AWAKE,UNUSED,,2,,,,,,,,,
AD16,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
AD17,debug<10>,IOB,IO_L33N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AD18,,,GND,,,,,,,,,,,,
AD19,TXD<1>,IOB,IO_L40P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AD20,TXD<3>,IOB,IO_L41P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AD21,clk_sel<1>,IOB,IO_L44N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AD22,clk_status,IBUF,IO_L45P_2,INPUT,LVCMOS25*,2,,,,BOTH,,LOCATED,YES,NONE,
AD23,,,GND,,,,,,,,,,,,
AD24,,,GND,,,,,,,,,,,,
AD25,ser_rkmsb,IBUF,IO_L02N_1/LDC0,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AD26,ser_r<6>,IBUF,IO_L05P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AE1,ADCB_4_p,IBUF,IP_L66P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
AE2,ADCB_4_n,IBUF,IP_L66N_3/VREF_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
AE3,SCLK_TX_DB,IOB,IO_L06P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE4,SEN_TX_DAC,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE5,,,VCCO_2,,,2,,,,,2.50,,,,
AE6,MOSI_DAC,IOB,IO_L10N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE7,SEN_DAC,IOB,IO_L11N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE8,debug<21>,IOB,IO_L18P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE9,,DIFFMTB,IO_L19P_2/VS1,UNUSED,,2,,,,,,,,,
AE10,,DIFFMTB,IO_L22P_2/D7,UNUSED,,2,,,,,,,,,
AE11,,,VCCO_2,,,2,,,,,2.50,,,,
AE12,,DIFFSTB,IO_L24N_2/D4,UNUSED,,2,,,,,,,,,
AE13,,DIFFSTB,IO_L26N_2/GCLK15,UNUSED,,2,,,,,,,,,
AE14,exp_user_out_n,DIFFSTB,IO_L28N_2/GCLK3,OUTPUT,LVDS_25,2,,,NONE**,,,LOCATED,NO,NONE,
AE15,,DIFFSTB,IO_L32N_2/DOUT,UNUSED,,2,,,,,,,,,
AE16,,,VCCO_2,,,2,,,,,2.50,,,,
AE17,debug<9>,IOB,IO_L33P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE18,,DIFFSTB,IO_L36N_2/D1,UNUSED,,2,,,,,,,,,
AE19,debug<6>,IOB,IO_L37N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE20,debug<2>,IOB,IO_L39N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE21,clk_sel<0>,IOB,IO_L44P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AE22,,,VCCO_2,,,2,,,,,2.50,,,,
AE23,leds<2>,IOB,IO_L48N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE24,flash_clk,IOB,IO_L52N_2/CCLK,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AE25,leds<4>,IOB,IO_L51N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AE26,ser_r<0>,IBUF,IO_L02P_1/LDC1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
AF1,,,GND,,,,,,,,,,,,
AF2,,,VCCAUX,,,,,,,,2.5,,,,
AF3,MOSI_TX_DB,IOB,IO_L06N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AF4,SCLK_TX_DAC,IOB,IO_L07N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AF5,SCLK_DAC,IOB,IO_L10P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AF6,,,GND,,,,,,,,,,,,
AF7,,,VCCO_2,,,2,,,,,2.50,,,,
AF8,debug<22>,IOB,IO_L18N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AF9,,DIFFSTB,IO_L19N_2/VS0,UNUSED,,2,,,,,,,,,
AF10,,DIFFSTB,IO_L22N_2/D6,UNUSED,,2,,,,,,,,,
AF11,,,GND,,,,,,,,,,,,
AF12,,DIFFMTB,IO_L24P_2/D5,UNUSED,,2,,,,,,,,,
AF13,,DIFFMTB,IO_L26P_2/GCLK14,UNUSED,,2,,,,,,,,,
AF14,exp_user_out_p,DIFFMTB,IO_L28P_2/GCLK2,OUTPUT,LVDS_25,2,,,NONE**,,,LOCATED,NO,NONE,
AF15,RXD<2>,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
AF16,,,GND,,,,,,,,,,,,
AF17,RXD<3>,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
AF18,,DIFFMTB,IO_L36P_2/D2,UNUSED,,2,,,,,,,,,
AF19,debug<5>,IOB,IO_L37P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AF20,debug<1>,IOB,IO_L39P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AF21,,,GND,,,,,,,,,,,,
AF22,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
AF23,leds<3>,IOB,IO_L48P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AF24,flash_miso,IBUF,IO_L52P_2/D0/DIN/MISO,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
AF25,leds<5>,IOB,IO_L51P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AF26,,,GND,,,,,,,,,,,,
B1,SCLK_ADC,IOB,IO_L02N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B2,SEN_RX_DB,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B3,,DIFFSTB,IO_L51N_0,UNUSED,,0,,,,,,,,,
B4,RAM_D<10>,IOB,IO_L45N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
B5,,,VCCO_0,,,0,,,,,2.50,,,,
B6,RAM_D<3>,IOB,IO_L41P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
B7,RAM_D<5>,IOB,IO_L42P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
B8,,DIFFSTB,IO_L38N_0,UNUSED,,0,,,,,,,,,
B9,RAM_BWn<1>,IOB,IO_L36N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
B10,RAM_CENn,IOB,IO_L33N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
B11,,,VCCO_0,,,0,,,,,2.50,,,,
B12,RAM_A<6>,IOB,IO_L29N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
B13,,DIFFMTB,IO_L28P_0/GCLK10,UNUSED,,0,,,,,,,,,
B14,,DIFFMTB,IO_L26P_0/GCLK6,UNUSED,,0,,,,,,,,,
B15,RAM_A<9>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
B16,,,VCCO_0,,,0,,,,,2.50,,,,
B17,RAM_A<17>,IOB,IO_L19N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
B18,RAM_A<18>,IOB,IO_L18P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
B19,,DIFFMTB,IO_L15P_0,UNUSED,,0,,,,,,,,,
B20,,DIFFMTB,IO_L14P_0/VREF_0,UNUSED,,0,,,,,,,,,
B21,RAM_D<29>,IOB,IO_L09N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
B22,,,VCCO_0,,,0,,,,,2.50,,,,
B23,RAM_D<26>,IOB,IO_L07P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
B24,,,GND,,,,,,,,,,,,
B25,,,GND,,,,,,,,,,,,
B26,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
C1,MISO_RX_ADC,IBUF,IP_3/VREF_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
C2,,,VCCO_3,,,3,,,,,2.50,,,,
C3,,,GND,,,,,,,,,,,,
C4,,,VCCINT,,,,,,,,1.2,,,,
C5,RAM_D<9>,IOB,IO_L44P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
C6,RAM_D<2>,IOB,IO_L41N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
C7,RAM_D<4>,IOB,IO_L42N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
C8,RAM_D<1>,IOB,IO_L40P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
C9,,,GND,,,,,,,,,,,,
C10,RAM_OEn,IOB,IO_L34P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
C11,RAM_A<0>,IOB,IO_L32P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
C12,RAM_A<4>,IOB,IO_L30N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
C13,,DIFFSTB,IO_L28N_0/GCLK11,UNUSED,,0,,,,,,,,,
C14,,,GND,,,,,,,,,,,,
C15,RAM_A<12>,IOB,IO_L22N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
C16,RAM_A<14>,IOB,IO_L21N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
C17,RAM_A<16>,IOB,IO_L19P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
C18,,DIFFSTB,IO_L17N_0,UNUSED,,0,,,,,,,,,
C19,,,GND,,,,,,,,,,,,
C20,RAM_D<33>,IOB,IO_L11N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
C21,RAM_D<30>,IOB,IO_L09P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
C22,RAM_D<21>,IOB,IO_L05N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
C23,RAM_D<23>,IOB,IO_L06N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
C24,,,GND,,,,,,,,,,,,
C25,GMII_TXD<5>,IOB,IO_L63N_1/A23,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
C26,GMII_TXD<6>,IOB,IO_L63P_1/A22,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
D1,,,VCCAUX,,,,,,,,2.5,,,,
D2,,,GND,,,,,,,,,,,,
D3,SEN_RX_ADC,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D4,,,TMS,,,,,,,,,,,,
D5,,,VCCINT,,,,,,,,1.2,,,,
D6,RAM_D<8>,IOB,IO_L44N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
D7,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
D8,RAM_D<0>,IOB,IO_L40N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
D9,RAM_BWn<3>,IOB,IO_L37N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
D10,RAM_WEn,IOB,IO_L34N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
D11,,DIFFSTB,IO_L32N_0/VREF_0,UNUSED,,0,,,,,,,,,
D12,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
D13,RAM_A<3>,IOB,IO_L30P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
D14,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
D15,,,GND,,,,,,,,,,,,
D16,RAM_A<11>,IOB,IO_L22P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
D17,RAM_A<13>,IOB,IO_L21P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
D18,RAM_A<20>,IOB,IO_L17P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
D19,,,GND,,,,,,,,,,,,
D20,RAM_D<34>,IOB,IO_L11P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
D21,RAM_D<31>,IOB,IO_L10N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
D22,RAM_D<22>,IOB,IO_L05P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
D23,RAM_D<24>,IOB,IO_L06P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
D24,GMII_TXD<1>,IOB,IO_L61N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
