#Release 13.1 - par O.40d (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Thu Feb 16 10:35:50 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       u1e_map.ncd
#OUTPUT FILE:      u1e_pad.csv
#PART TYPE:        xc3sd1800a
#SPEED GRADE:      -4
#PACKAGE:          cs484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AA21,,,VCCAUX,,,,,,,,2.5,,,,
AA22,debug<31>,IOB,IO_L02N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AB1,,,GND,,,,,,,,,,,,
AB2,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
AB3,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
AB4,io_rx<12>,IOB,IO_L04P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB5,io_rx<10>,IOB,IO_L05P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB6,io_rx<11>,IOB,IO_L05N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB7,io_rx<6>,IOB,IO_L08P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB8,fpga_rxd1,IBUF,IO_L09P_2/VS1,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
AB9,fpga_txd1,IOB,IO_L09N_2/VS0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
AB10,,DIFFMTB,IO_L12P_2/D7,UNUSED,,2,,,,,,,,,
AB11,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
AB12,,DIFFSTB,IO_L16N_2/GCLK15,UNUSED,,2,,,,,,,,,
AB13,,DIFFMTB,IO_L18P_2/GCLK2,UNUSED,,2,,,,,,,,,
AB14,io_tx<15>,IOB,IO_L19N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB15,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
AB16,,DIFFSTB,IO_L22N_2/DOUT,UNUSED,,2,,,,,,,,,
AB17,io_tx<9>,IOB,IO_L23P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB18,io_tx<10>,IOB,IO_L23N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB19,io_tx<5>,IOB,IO_L27P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB20,io_tx<0>,IOB,IO_L30N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB21,,,DONE,,,,,,,,,,,,
AB22,,,GND,,,,,,,,,,,,
B1,,,TMS,,,,,,,,,,,,
B2,,,VCCAUX,,,,,,,,2.5,,,,
B3,overo_gpio23,IBUF,IO_L30P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
B4,overo_gpio176,IBUF,IO_L28P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
B5,,,VCCO_0,,,0,,,,,2.50,,,,
B6,overo_gpio147,IOB,IO_L24P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B7,,,GND,,,,,,,,,,,,
B8,,DIFFSTB,IO_L20N_0/GCLK11,UNUSED,,0,,,,,,,,,
B9,,DIFFSTB,IO_L18N_0/GCLK7,UNUSED,,0,,,,,,,,,
B10,,,VCCO_0,,,0,,,,,2.50,,,,
B11,,DIFFMTB,IO_L15P_0,UNUSED,,0,,,,,,,,,
B12,,,GND,,,,,,,,,,,,
B13,EM_NWE,IBUF,IO_L11N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
B14,,,VCCO_0,,,0,,,,,2.50,,,,
B15,,DIFFSTB,IO_L10N_0,UNUSED,,0,,,,,,,,,
B16,,,GND,,,,,,,,,,,,
B17,EM_D<5>,IOB,IO_L03P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
B18,,,VCCO_0,,,0,,,,,2.50,,,,
B19,EM_D<3>,IOB,IO_L02N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
B20,EM_D<12>,IOB,IO_L07P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
B21,,,VCCAUX,,,,,,,,2.5,,,,
B22,,,TDO,,,,,,,,,,,,
C1,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,
C2,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
C3,,,GND,,,,,,,,,,,,
C4,overo_gpio14,IBUF,IO_L29N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
C5,EM_A<8>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
C6,overo_txd1,IBUF,IO_L21P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
C7,overo_gpio145,IBUF,IO_L26P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
C8,overo_gpio127,IBUF,IO_L22P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
C9,,DIFFMTB,IO_L16P_0,UNUSED,,0,,,,,,,,,
C10,EM_A<9>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
C11,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
C12,,DIFFSTB,IO_L14N_0,UNUSED,,0,,,,,,,,,
C13,,DIFFMTB,IO_L14P_0,UNUSED,,0,,,,,,,,,
C14,EM_A<10>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
C15,EM_A<1>,IBUF,IO_L12N_0/VREF_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
C16,EM_D<13>,IOB,IO_L08N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
C17,EM_D<4>,IOB,IO_L03N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
C18,,DIFFMTB,IO_L02P_0/VREF_0,UNUSED,,0,,,,,,,,,
C19,EM_D<1>,IOB,IO_L01N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
C20,,,GND,,,,,,,,,,,,
C21,,DIFFSI_NDT,IP_L39N_1,UNUSED,,1,,,,,,,,,
C22,debug_pb,IBUF,IP_L39P_1/VREF_1,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
D1,,DIFFMI_NDT,IP_L04P_3,UNUSED,,3,,,,,,,,,
D2,,,TDI,,,,,,,,,,,,
D3,,DIFFMI_NDT,IP_L08P_3,UNUSED,,3,,,,,,,,,
D4,,DIFFSI_NDT,IP_L08N_3,UNUSED,,3,,,,,,,,,
D5,overo_gpio21,IBUF,IO_L29P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
D6,overo_rxd1,IOB,IO_L21N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D7,overo_gpio163,IBUF,IO_L26N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
D8,,,GND,,,,,,,,,,,,
D9,,DIFFSTB,IO_L22N_0,UNUSED,,0,,,,,,,,,
D10,,DIFFSTB,IO_L16N_0,UNUSED,,0,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,,,VCCAUX,,,,,,,,2.5,,,,
D13,EM_D<15>,IOB,IO_L09N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
D14,EM_NBE<1>,IBUF,IO_L12P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
D15,EM_D<14>,IOB,IO_L08P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
D16,,,GND,,,,,,,,,,,,
D17,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
D18,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
D19,EM_D<2>,IOB,IO_L01P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
D20,db_mosi_rx,IOB,IO_L36P_1/A20,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D21,db_sclk_rx,IOB,IO_L37P_1/A22,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D22,db_miso_rx,IBUF,IO_L37N_1/A23,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
E1,,DIFFSI_NDT,IP_L04N_3/VREF_3,UNUSED,,3,,,,,,,,,
E2,,,VCCO_3,,,3,,,,,3.30,,,,
E3,DB<8>,IBUF,IO_L09P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
E4,DB<9>,IBUF,IO_L09N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,EM_NCS4,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
E7,EM_A<3>,IBUF,IO_L31P_0/VREF_0,INPUT,LVCMOS25*,0,,,,BOTH,,LOCATED,YES,NONE,
E8,overo_gpio170,IBUF,IO_L27N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
E9,,,VCCO_0,,,0,,,,,2.50,,,,
E10,EM_NCS5,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
E11,,DIFFSTB,IO_L19N_0/GCLK9,UNUSED,,0,,,,,,,,,
E12,,DIFFMTB,IO_L17P_0/GCLK4,UNUSED,,0,,,,,,,,,
E13,,DIFFMTB,IO_L09P_0,UNUSED,,0,,,,,,,,,
E14,,,VCCO_0,,,0,,,,,2.50,,,,
E15,EM_D<9>,IOB,IO_L05P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
E16,EM_D<7>,IOB,IO_L04P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
E17,EM_NCS6,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
E18,,,VCCAUX,,,,,,,,2.5,,,,
E19,db_sen_rx,IOB,IO_L36N_1/A21,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E20,db_miso_tx,IBUF,IO_L35N_1,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
E21,,,VCCO_1,,,1,,,,,2.50,,,,
E22,cgen_mosi,IOB,IO_L33N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F1,,DIFFSLR,IO_L06N_3,UNUSED,,3,,,,,,,,,
F2,RXSYNC,IBUF,IO_L06P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
F3,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
F4,mosi_codec,IOB,IO_L03P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F5,sen_codec,IOB,IO_L03N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F6,,,GND,,,,,,,,,,,,
F7,,DIFFSTB,IO_L31N_0/PUDC_B,UNUSED,,0,,,,,,,,,
F8,overo_gpio65,IBUF,IO_L27P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
F9,overo_gpio0,IBUF,IO_L23N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
F10,,DIFFMTB,IO_L19P_0/GCLK8,UNUSED,,0,,,,,,,,,
F11,EM_CLK,IBUF,IO_L17N_0/GCLK5,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
F12,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F13,,DIFFSTB,IO_L13N_0,UNUSED,,0,,,,,,,,,
F14,EM_WAIT0,IBUF,IO_L13P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
F15,EM_D<8>,IOB,IO_L05N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
F16,EM_D<6>,IOB,IO_L04N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
F17,,,GND,,,,,,,,,,,,
F18,db_sda,IOB,IO_L38N_1/A25,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
F19,db_scl,IOB,IO_L38P_1/A24,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
F20,FPGA_RXD,IBUF,IO_L30N_1/A19,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
F21,db_sclk_tx,IOB,IO_L35P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F22,cgen_miso,IBUF,IO_L33P_1,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
G1,DB<4>,IBUF,IO_L11P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,
G4,,,GND,,,,,,,,,,,,
G5,DB<10>,IBUF,IO_L07P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
G6,DB<11>,IBUF,IO_L07N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,overo_gpio128,IBUF,IO_L23P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
G9,,,GND,,,,,,,,,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,,,GND,,,,,,,,,,,,
G12,,,VCCAUX,,,,,,,,2.5,,,,
G13,,,GND,,,,,,,,,,,,
G14,,,VCCAUX,,,,,,,,2.5,,,,
G15,,,GND,,,,,,,,,,,,
G16,,,VCCINT,,,,,,,,1.2,,,,
G17,db_mosi_tx,IOB,IO_L34P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G18,db_sen_tx,IOB,IO_L34N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G19,FPGA_TXD,IOB,IO_L30P_1/A18,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
G20,,DIFFSI_NDT,IP_L31N_1,UNUSED,,1,,,,,,,,,
G21,,,GND,,,,,,,,,,,,
G22,debug<0>,IOB,IO_L28N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H1,DB<5>,IBUF,IO_L11N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
H2,DB<1>,IBUF,IO_L14P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
H3,sclk_codec,IOB,IO_L05P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H4,miso_codec,IBUF,IO_L05N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
H5,DB<6>,IBUF,IO_L10P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
H6,DB<7>,IBUF,IO_L10N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCINT,,,,,,,,1.2,,,,
H12,,,GND,,,,,,,,,,,,
H13,,,VCCINT,,,,,,,,1.2,,,,
H14,,,GND,,,,,,,,,,,,
H15,,,VCCINT,,,,,,,,1.2,,,,
H16,,,GND,,,,,,,,,,,,
H17,debug<1>,IOB,IO_L26P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H18,debug<2>,IOB,IO_L26N_1/A15,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H19,,,GND,,,,,,,,,,,,
H20,cgen_sen_b,IOB,IO_L32N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H21,,DIFFMI_NDT,IP_L31P_1/VREF_1,UNUSED,,1,,,,,,,,,
H22,debug_led<0>,IOB,IO_L28P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J1,,DIFFSLR,IO_L14N_3/VREF_3,UNUSED,,3,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,3.30,,,,
J3,,DIFFMI_NDT,IP_L16P_3,UNUSED,,3,,,,,,,,,
J4,,DIFFSI_NDT,IP_L16N_3,UNUSED,,3,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,3.30,,,,
J6,,DIFFMI_NDT,IP_L12P_3,UNUSED,,3,,,,,,,,,
J7,,DIFFSI_NDT,IP_L12N_3/VREF_3,UNUSED,,3,,,,,,,,,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.2,,,,
J15,,,GND,,,,,,,,,,,,
J16,,,VCCAUX,,,,,,,,2.5,,,,
J17,debug_led<1>,IOB,IO_L29N_1/A17,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
J19,cgen_sclk,IOB,IO_L32P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J20,debug<4>,IOB,IO_L25N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J21,,DIFFMI_NDT,IP_L27P_1,UNUSED,,1,,,,,,,,,
J22,,DIFFSI_NDT,IP_L27N_1,UNUSED,,1,,,,,,,,,
K1,,DIFFMLR,IO_L19P_3/LHCLK2,UNUSED,,3,,,,,,,,,
K2,DA<9>,IBUF,IO_L17P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
K3,DA<10>,IBUF,IO_L17N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
K4,DB<2>,IBUF,IO_L13P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
K5,DB<3>,IBUF,IO_L13N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
K6,DA<11>,IBUF,IO_L15P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
K7,,,VCCAUX,,,,,,,,2.5,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,,GND,,,,,,,,,,,,
K15,,,VCCINT,,,,,,,,1.2,,,,
K16,debug_led<2>,IOB,IO_L29P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K17,,DIFFSI_NDT,IP_L23N_1,UNUSED,,1,,,,,,,,,
K18,debug<6>,IOB,IO_L24N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K19,debug<5>,IOB,IO_L24P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K20,debug<3>,IOB,IO_L25P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K21,,,VCCO_1,,,1,,,,,2.50,,,,
K22,debug<8>,IOB,IO_L22N_1/A11,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L1,,DIFFSLR,IO_L19N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
L2,,,GND,,,,,,,,,,,,
L3,,DIFFMLR,IO_L20P_3/LHCLK4,UNUSED,,3,,,,,,,,,
L4,,,VCCAUX,,,,,,,,2.5,,,,
L5,DB<0>,IBUF,IO_L15N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
L6,,DIFFMLR,IO_L18P_3/LHCLK0,UNUSED,,3,,,,,,,,,
L7,,,GND,,,,,,,,,,,,
L8,,,VCCINT,,,,,,,,1.2,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,,GND,,,,,,,,,,,,
L16,,,VCCAUX,,,,,,,,2.5,,,,
L17,,DIFFSLR,IO_L21N_1/RHCLK7,UNUSED,,1,,,,,,,,,
L18,,DIFFMI_NDT,IP_L23P_1/VREF_1,UNUSED,,1,,,,,,,,,
L19,,,GND,,,,,,,,,,,,
L20,,DIFFSLR,IO_L20N_1/RHCLK5,UNUSED,,1,,,,,,,,,
L21,,DIFFMLR,IO_L20P_1/RHCLK4,UNUSED,,1,,,,,,,,,
